external_id,platform,name,program_link,date_launched,scope_type,github_link_count,github_links
HackenProof:celestia,HackenProof,Celestia,https://hackenproof.com/programs/celestia,2025-03-26,"blockchain-dlt,go,other,smart contract",10,https://github.com/celestiaorg/celestia-app | https://github.com/celestiaorg/celestia-core | https://github.com/celestiaorg/celestia-node | https://github.com/celestiaorg/go-fraud | https://github.com/celestiaorg/go-header | https://github.com/celestiaorg/go-square | https://github.com/celestiaorg/nmt | https://github.com/celestiaorg/rsmt2d | https://github.com/klauspost/reedsolomon | https://github.com/succinctlabs/sp1-blobstream
HackenProof:cetus-smart-contracts,HackenProof,Cetus Smart Contracts,https://hackenproof.com/programs/cetus-smart-contracts,2025-07-07,"move,other,smart contract",2,https://github.com/CetusProtocol/cetus-contracts | https://github.com/hackenproof-public/cetus-clmm
HackenProof:citrea-protocol-and-smart-contracts,HackenProof,Citrea Protocol & Smart Contracts,https://hackenproof.com/programs/citrea-protocol-and-smart-contracts,2026-01-28,"blockchain-dlt,domain,other,rust,smart contract,solidity",3,https://github.com/chainwayxyz/citrea | https://github.com/chainwayxyz/clementine | https://github.com/chainwayxyz/clementine-cli
HackenProof:citrea-web-and-apps,HackenProof,Citrea Web & Apps,https://hackenproof.com/programs/citrea-web-and-apps,2026-01-28,domain,0,
HackenProof:coinmetro-exchange,HackenProof,CoinMetro Exchange,https://hackenproof.com/programs/coinmetro-exchange,2021-04-28,"domain,wildcard",0,
HackenProof:cube-exchange-web,HackenProof,Cube Exchange Web,https://hackenproof.com/programs/cube-exchange-web,2025-03-13,"domain,wildcard",0,
HackenProof:dexx-web-and-mobile,HackenProof,DEXX Web & Mobile,https://hackenproof.com/programs/dexx-web-and-mobile,2025-02-26,"domain,mobile",0,
HackenProof:deepfi-games,HackenProof,DeepFi Games,https://hackenproof.com/programs/deepfi-games,2026-04-01,domain,0,
HackenProof:deepfi-trade,HackenProof,DeepFi Trade,https://hackenproof.com/programs/deepfi-trade,2026-04-01,domain,0,
HackenProof:doubleup-smart-contracts,HackenProof,DoubleUp Smart Contracts,https://hackenproof.com/programs/doubleup-smart-contracts,2026-03-01,"domain,move,smart contract",0,
HackenProof:doubleup-web,HackenProof,DoubleUp Web,https://hackenproof.com/programs/doubleup-web,2026-03-01,"domain,wildcard",0,
HackenProof:ember-vaults-smart-contracts,HackenProof,Ember Vaults Smart Contracts,https://hackenproof.com/programs/ember-vaults-smart-contracts,2025-10-06,"move,other,smart contract",1,https://github.com/hackenproof-public/ember-vaults
HackenProof:fmcpay-web-and-mobile,HackenProof,FMCPAY Web & Mobile,https://hackenproof.com/programs/fmcpay-web-and-mobile,2026-08-01,"domain,mobile",0,
HackenProof:flipster-web-and-mobile,HackenProof,Flipster Web & Mobile,https://hackenproof.com/programs/flipster-web-and-mobile,2025-05-22,"api,domain,mobile",0,
HackenProof:flow-protocol,HackenProof,Flow Protocol,https://hackenproof.com/programs/flow-protocol,2025-05-08,"blockchain-dlt,go,other,smart contract",7,https://github.com/onflow/atree | https://github.com/onflow/cadence | https://github.com/onflow/ccf | https://github.com/onflow/crypto | https://github.com/onflow/flow-core-contracts | https://github.com/onflow/flow-evm-bridge | https://github.com/onflow/flow-go
HackenProof:flow-wallet,HackenProof,Flow Wallet,https://hackenproof.com/programs/flow-wallet,2026-06-01,"domain,mobile",0,
HackenProof:flow-web,HackenProof,Flow Web,https://hackenproof.com/programs/flow-web,2025-05-08,"domain,wildcard",0,
HackenProof:flowx-clmm-smart-contracts,HackenProof,FlowX CLMM Smart Contracts,https://hackenproof.com/programs/flowx-clmm-smart-contracts,2025-10-06,"move,other,smart contract",1,https://github.com/hackenproof-public/flowx-clmm
HackenProof:gmgn-web-and-mobile,HackenProof,GMGN Web & Mobile,https://hackenproof.com/programs/gmgn-web-and-mobile,2025-03-17,"domain,mobile,wildcard",0,
HackenProof:gate-us,HackenProof,Gate US,https://hackenproof.com/programs/gate-us,2026-01-13,domain,0,
HackenProof:gear-protocol,HackenProof,Gear Protocol,https://hackenproof.com/programs/gear-protocol,2025-03-13,"blockchain-dlt,other,rust",1,https://github.com/gear-tech/gear/tree/master/core
HackenProof:grovex-web-and-mobile,HackenProof,GroveX Web & Mobile,https://hackenproof.com/programs/grovex-web-and-mobile,2025-05-30,"domain,mobile,wildcard",0,
HackenProof:haedal-smart-contracts,HackenProof,Haedal Smart Contracts,https://hackenproof.com/programs/haedal-smart-contracts,2025-08-25,"move,other,smart contract",2,https://github.com/hackenproof-public/hasui-bug-bounty | https://github.com/hackenproof-public/hawal-bug-bounty
HackenProof:kcex,HackenProof,KCEX,https://hackenproof.com/programs/kcex,2025-05-29,"domain,mobile",0,
HackenProof:kub-chain-and-ecosystem,HackenProof,KUB Chain & Ecosystem,https://hackenproof.com/programs/kub-chain-and-ecosystem,2025-08-08,"blockchain-dlt,domain,other,smart contract",1,https://github.com/kub-chain/bkc
HackenProof:kai-finance-yield-protocol,HackenProof,Kai Finance Yield Protocol,https://hackenproof.com/programs/kai-finance-yield-protocol,2025-09-02,"move,other,smart contract",2,https://github.com/kunalabs-io/sui-smart-contracts/tree/master/access-management | https://github.com/kunalabs-io/sui-smart-contracts/tree/master/kai/leverage/core
HackenProof:kaia-protocol,HackenProof,Kaia Protocol,https://hackenproof.com/programs/kaia-protocol,2025-11-25,"blockchain-dlt,go,other,solidity",1,https://github.com/kaiachain/kaia
HackenProof:layer3-web,HackenProof,Layer3 Web,https://hackenproof.com/programs/layer3-web,2025-08-05,domain,1,https://github.com/layer3xyz/cubes/blob/main/src/escrow/Factory.sol
HackenProof:levex-web-and-mobile,HackenProof,LeveX Web & Mobile,https://hackenproof.com/programs/levex-web-and-mobile,2025-03-31,"domain,mobile,wildcard",0,
HackenProof:meest-poshta-mobile,HackenProof,Meest Poshta Mobile,https://hackenproof.com/programs/meest-poshta-mobile,2026-05-01,"domain,mobile",0,
HackenProof:momentum-smart-contracts,HackenProof,Momentum Smart Contracts,https://hackenproof.com/programs/momentum-smart-contracts,2025-10-08,"move,other,smart contract",1,https://github.com/hackenproof-public/mmt-v3-core
HackenProof:monday-trade-web,HackenProof,Monday Trade Web,https://hackenproof.com/programs/monday-trade-web,2026-01-19,domain,0,
HackenProof:multipli-smart-contracts,HackenProof,Multipli Smart Contracts,https://hackenproof.com/programs/multipli-smart-contracts,2026-02-24,"blockchain-dlt,domain,other,smart contract,solidity",0,
HackenProof:multipli-web,HackenProof,Multipli Web,https://hackenproof.com/programs/multipli-web,2026-02-24,"domain,wildcard",0,
HackenProof:mybucks-dot-online-wallet-cracking-challenge,HackenProof,Mybucks.online Wallet Cracking Challenge,https://hackenproof.com/programs/mybucks-dot-online-wallet-cracking-challenge,2026-02-03,"domain,javascript",0,
HackenProof:navi-protocol,HackenProof,NAVI Protocol,https://hackenproof.com/programs/navi-protocol,2025-10-16,"move,other,smart contract",2,https://github.com/naviprotocol/navi-smart-contracts/tree/main/lending_core | https://github.com/naviprotocol/navi-smart-contracts/tree/main/oracle
HackenProof:navi-protocol-web,HackenProof,NAVI Protocol Web,https://hackenproof.com/programs/navi-protocol-web,2025-10-16,domain,0,
HackenProof:near-intents-sdk,HackenProof,NEAR Intents: SDK,https://hackenproof.com/programs/near-intents-sdk,2026-02-10,"blockchain-dlt,domain,javascript,other,typescript",1,https://github.com/defuse-protocol/sdk-monorepo
HackenProof:near-intents-smart-contracts,HackenProof,NEAR Intents: Smart Contracts,https://hackenproof.com/programs/near-intents-smart-contracts,2025-09-08,"blockchain-dlt,other,rust,smart contract",1,https://github.com/near/intents
HackenProof:noya-dot-ai-smart-contracts,HackenProof,NOYA.ai Smart Contracts,https://hackenproof.com/programs/noya-dot-ai-smart-contracts,2026-05-01,"other,smart contract,solidity",1,https://github.com/Noya-ai/noya-JUL-2025-audit-scope
HackenProof:nado-smart-contracts,HackenProof,Nado Smart Contracts,https://hackenproof.com/programs/nado-smart-contracts,2025-11-17,"other,smart contract,solidity",1,https://github.com/nadohq/nado-contracts
HackenProof:nado-web,HackenProof,Nado Web,https://hackenproof.com/programs/nado-web,2025-11-17,domain,0,
